ID,Quote,Author,Tags
20,Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,"Roy T. Bennett, The Light in the Heart","brave,courage,dreams,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,purpose,vision"
21,"Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more.","Roy T. Bennett, The Light in the Heart","goal,goals,gratitude,happiness,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,leader,leadership,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
22,"Do what is right, not what is easy nor what is popular.","Roy T. Bennett, The Light in the Heart","act,action,do,doing,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,right,truth,what-is-easy,what-is-popular,what-is-right"
23,"It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.",Roy T. Bennett,"change,focus,grow,growth,inspiration,inspirational,inspirational-quotes,inspire,inspiring,leader,leaders,leadership,life,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,stay-focused,step-out-of-comfort-zone,transform"
24,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,"Roy T. Bennett, The Light in the Heart","dreams,fearless,heart,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,mind,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
25,"Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them.","Steve Maraboli, Life, the Truth, and Being Free","ability,action,gratitude,happiness,inspirational,life,motivational,moving-forward,problems,success"
26,"Success is not how high you have climbed, but how you make a positive difference to the world.","Roy T. Bennett, The Light in the Heart","inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,leader,leadership,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,success"
27,"Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.","Roy T. Bennett, The Light in the Heart","future,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,limit,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,potential"
28,"Surround Yourself with People Who Believe in Your Dreams:Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you.","Roy T. Bennett, The Light in the Heart","ambition,dream,dreams,encourage,inspiration,inspirational,inspirational-quotes,inspire,inspiring,life,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
29,"Always remember people who have helped you along the way, and don’t forget to lift someone up.","Roy T. Bennett, The Light in the Heart","gratitude,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,leader,leadership,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
30,"Life is about accepting the challenges along the way, choosing to keep moving forward, and savoring the journey.","Roy T. Bennett, The Light in the Heart","challenge,enjoy-the-journey,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,keep-moving-forward,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,move-on,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
31,Be brave to stand for what you believe in even if you stand alone.,"Roy T. Bennett, The Light in the Heart","belief,beliefs,believe,courage,courage-quotes,inspiration,inspirational,inspirational-quotes,inspire,inspiring,life,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
32,"When the going gets tough, put one foot in front of the other and just keep going. Don’t give up.","Roy T. Bennett, The Light in the Heart","adversity,challenge,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,keep-going,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,never-give-up,optimism,optimistic,persistence,positive,positive-affirmation,positive-life,positive-thinking"
33,"Maturity is when you stop complaining and making excuses, and start making changes.","Roy T. Bennett, The Light in the Heart","change,choice,choices,excuse,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
34,Do not fear failure but rather fear not trying.,"Roy T. Bennett, The Light in the Heart","failure,fearless,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quote,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-philosophy,life-quotes,living,motivation,motivational,never-give-up,optimism,optimistic,persistence,positive,positive-affirmation,positive-life,positive-thinking,trying"
35,"Pursue what catches your heart, not what catches your eyes.","Roy T. Bennett, The Light in the Heart","gratitude,heart,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,thoughts"
36,"Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.","Roy T. Bennett, The Light in the Heart","happiness,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,mind,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
37,"Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.","Roy T. Bennett, The Light in the Heart","choice,future,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,letting-go,letting-go-and-moving-on,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
38,"Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.","Roy T. Bennett, The Light in the Heart","achievement,believe-in-yourself,brave,courage,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,talent"
39,Start each day with a positive thought and a grateful heart.,"Roy T. Bennett, The Light in the Heart","gratitude,heart,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,thoughts"
40,Let the improvement of yourself keep you so busy that you have no time to criticize others.,"Roy T. Bennett, The Light in the Heart","improvement,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,leadership,learning,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,success"
41,"If you believe very strongly in something, stand up and fight for it.","Roy T. Bennett, The Light in the Heart","believe,believe-in-yourself,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quote,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-philosophy,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
42,"Listen with curiosity. Speak with honesty. Act with integrity. The greatest problem with communication is we don’t listen to understand. We listen to reply. When we listen with curiosity, we don’t listen with the intent to reply. We listen for what’s behind the words.","Roy T. Bennett, The Light in the Heart","action,actions,communication,curiosity,honest,inspiration,inspirational,inspirational-quotes,integrity,integrity-quotes,leadership,life,life-quotes,listen,listening,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,speak,speaking"
43,"The strongest people find the courage and caring to help others, even if they are going through their own storm.","Roy T. Bennett, The Light in the Heart","courage,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,strong"
44,"To have what you have never had, you have to do what you have never done.","Roy T. Bennett, The Light in the Heart","action,courage-quotes,courageous,doing,inspiration,inspirational,inspirational-quotes,inspire,inspiring,life,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
45,"At the end of the day, let there be no excuses, no explanations, no regrets.","Steve Maraboli, Life, the Truth, and Being Free","appreciation,excuses,gratitude,inspirational,life,motivational,no-regrets,seize-the-day,success"
46,"Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.","Roy T. Bennett, The Light in the Heart","courage,fear,fearless,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
47,"We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","inspirational,life,living-now,mistakes,motivational,regret,self-empowerment,struggles"
48,Believe in your infinite potential. Your only limitations are those you set upon yourself.,"Roy T. Bennett, The Light in the Heart","believe,believe-in-yourself,confidence,empowerment,inspiration,inspirational,inspirational-quotes,inspire,inspiring,life,life-quotes,limitations,limits,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking,potential,spiritual-growth,spirituality,talents"
49,It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.,"Roy T. Bennett, The Light in the Heart","change,inspiration,inspirational,inspirational-attitude,inspirational-life,inspirational-quotes,inspire,inspiring,life,life-and-living,life-lessons,life-quotes,living,motivation,motivational,optimism,optimistic,positive,positive-affirmation,positive-life,positive-thinking"
